"image_1","image_2","image_3","Артикул","Цвет","Материал верха","Материал подкладки","Размер","Стелька","Сегмент","Марка","Тип обуви","Кр. описание"
"/ss-2015/857509-02-01W.jpg","/ss-2015/857509-02-01W_02.jpg","/ss-2015/857509-02-01W_03.jpg","857509/02-01W","белый","ПВХ","без подкладки","36-40","байка","женские","KEDDO","ботинки",
"/ss-2015/857582-01-01M.jpg","/ss-2015/857582-01-01M_02.jpg","/ss-2015/857582-01-01M_03.jpg","857582/01-01M","черный","ПВХ","ворсин","40-44","ворсин","мужские","KEDDO","ботинки",
"/ss-2015/857582-01-02M.jpg","/ss-2015/857582-01-02M_02.jpg","/ss-2015/857582-01-02M_03.jpg","857582/01-02M","коричневый","ПВХ","ворсин","40-44","ворсин","мужские","KEDDO","ботинки",
"/ss-2015/857588-02-01W.jpg","/ss-2015/857588-02-01W_02.jpg","/ss-2015/857588-02-01W_03.jpg","857588/02-01W","черный","резина","ворсин","36-40","ворсин","женские","KEDDO","полусапоги",
"/ss-2015/857119-01-01W.jpg","/ss-2015/857119-01-01W_02.jpg","/ss-2015/857119-01-01W_03.jpg","857119/01-01W","розовый","текстиль","текстиль","36-40","текстиль","женские","KEDDO","туфли закрытые",
"/ss-2015/857119-01-02W.jpg","/ss-2015/857119-01-02W_02.jpg","/ss-2015/857119-01-02W_03.jpg","857119/01-02W","зеленый","текстиль","текстиль","36-40","текстиль","женские","KEDDO","туфли закрытые",
"/ss-2015/857183-01-05W.jpg","/ss-2015/857183-01-05W_02.jpg","/ss-2015/857183-01-05W_03.jpg","857183/01-05W","т.синий","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857183-01-07W.jpg","/ss-2015/857183-01-07W_02.jpg","/ss-2015/857183-01-07W_03.jpg","857183/01-07W","бежевый","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857183-01-08W.jpg","/ss-2015/857183-01-08W_02.jpg","/ss-2015/857183-01-08W_03.jpg","857183/01-08W","голубой","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857217-10-02W.jpg","/ss-2015/857217-10-02W_02.jpg","/ss-2015/857217-10-02W_03.jpg","857217/10-02W","голубой","текстиль","текстиль","36-40","нат.кожа","женские","KEDDO","полуботинки",
"/ss-2015/857218-05-01W.jpg","/ss-2015/857218-05-01W_02.jpg","/ss-2015/857218-05-01W_03.jpg","857218/05-01W","черный","иск.замша/текстиль","текстиль","36-40","текстиль","женские","KEDDO","ботинки",
"/ss-2015/857220-01-01W.jpg","/ss-2015/857220-01-01W_02.jpg","/ss-2015/857220-01-01W_03.jpg","857220/01-01W","черный","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857220-01-06W.jpg","/ss-2015/857220-01-06W_02.jpg","/ss-2015/857220-01-06W_03.jpg","857220/01-06W","синий","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857230-01-01W.jpg","/ss-2015/857230-01-01W_02.jpg","/ss-2015/857230-01-01W_03.jpg","857230/01-01W","черный","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857230-01-02W.jpg","/ss-2015/857230-01-02W_02.jpg","/ss-2015/857230-01-02W_03.jpg","857230/01-02W","белый","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
